nohup: ignoring input
2024-08-31 07:42:45 200
2024-08-31 07:42:47 200
2024-08-31 07:42:47 200
2024-08-31 07:42:50 200
2024-08-31 07:42:50 200
2024-08-31 07:42:52 200
2024-08-31 07:42:52 200
2024-08-31 07:42:54 200
2024-08-31 07:42:55 200
2024-08-31 07:42:57 200
2024-08-31 07:42:57 200
2024-08-31 07:42:59 200
2024-08-31 07:42:59 200
2024-08-31 07:43:02 200
2024-08-31 07:43:02 200
2024-08-31 07:43:04 200
2024-08-31 07:43:04 200
2024-08-31 07:43:07 200
2024-08-31 07:43:07 200
2024-08-31 07:43:09 200
2024-08-31 07:43:09 200
2024-08-31 07:43:11 200
2024-08-31 07:43:11 200
2024-08-31 07:43:14 200
2024-08-31 07:43:14 200
2024-08-31 07:43:16 200
2024-08-31 07:43:16 200
2024-08-31 07:43:18 200
2024-08-31 07:43:19 200
2024-08-31 07:43:21 200
2024-08-31 07:43:21 200
2024-08-31 07:43:23 200
2024-08-31 07:43:23 200
2024-08-31 07:43:26 200
2024-08-31 07:43:26 200
2024-08-31 07:43:28 200
2024-08-31 07:43:28 200
2024-08-31 07:43:31 200
2024-08-31 07:43:31 200
2024-08-31 07:43:33 200
2024-08-31 07:43:33 200
2024-08-31 07:43:35 200
2024-08-31 07:43:35 200
2024-08-31 07:43:38 200
2024-08-31 07:43:38 200
2024-08-31 07:43:40 200
2024-08-31 07:43:40 200
2024-08-31 07:43:43 200
2024-08-31 07:43:43 200
2024-08-31 07:43:45 200
2024-08-31 07:43:45 200
2024-08-31 07:43:48 200
2024-08-31 07:43:48 200
2024-08-31 07:43:50 200
2024-08-31 07:43:50 200
2024-08-31 07:43:52 200
2024-08-31 07:43:52 200
2024-08-31 07:43:55 200
2024-08-31 07:43:55 200
2024-08-31 07:43:57 200
2024-08-31 07:43:57 200
2024-08-31 07:44:00 200
2024-08-31 07:44:00 200
2024-08-31 07:44:02 200
2024-08-31 07:44:02 200
2024-08-31 07:44:04 200
2024-08-31 07:44:04 200
2024-08-31 07:44:07 200
2024-08-31 07:44:07 200
2024-08-31 07:44:09 200
2024-08-31 07:44:09 200
2024-08-31 07:44:12 200
2024-08-31 07:44:12 200
2024-08-31 07:44:14 200
2024-08-31 07:44:14 200
2024-08-31 07:44:16 200
2024-08-31 07:44:16 200
2024-08-31 07:44:19 200
2024-08-31 07:44:19 200
2024-08-31 07:44:21 200
2024-08-31 07:44:21 200
2024-08-31 07:44:24 200
2024-08-31 07:44:24 200
2024-08-31 07:44:26 200
2024-08-31 07:44:26 200
2024-08-31 07:44:28 200
2024-08-31 07:44:28 200
2024-08-31 07:44:31 200
2024-08-31 07:44:31 200
2024-08-31 07:44:33 200
2024-08-31 07:44:33 200
2024-08-31 07:44:36 200
2024-08-31 07:44:36 200
2024-08-31 07:44:38 200
2024-08-31 07:44:38 200
2024-08-31 07:44:41 200
2024-08-31 07:44:41 200
2024-08-31 07:44:43 200
2024-08-31 07:44:43 200
2024-08-31 07:44:45 200
2024-08-31 07:44:45 200
2024-08-31 07:44:48 200
2024-08-31 07:44:48 200
2024-08-31 07:44:50 200
2024-08-31 07:44:50 200
2024-08-31 07:44:53 200
2024-08-31 07:44:53 200
2024-08-31 07:44:55 200
2024-08-31 07:44:55 200
2024-08-31 07:44:58 200
2024-08-31 07:44:58 200
2024-08-31 07:45:00 200
2024-08-31 07:45:00 200
2024-08-31 07:45:02 200
2024-08-31 07:45:02 200
2024-08-31 07:45:05 200
2024-08-31 07:45:05 200
2024-08-31 07:45:07 200
2024-08-31 07:45:07 200
2024-08-31 07:45:10 200
2024-08-31 07:45:10 200
2024-08-31 07:45:12 200
2024-08-31 07:45:12 200
2024-08-31 07:45:14 200
2024-08-31 07:45:14 200
2024-08-31 07:45:17 200
2024-08-31 07:45:17 200
2024-08-31 07:45:19 200
2024-08-31 07:45:19 200
2024-08-31 07:45:21 200
2024-08-31 07:45:21 200
2024-08-31 07:45:24 200
